Manufacturer,Model,Description,AorM,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Euro standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],Date of change,Fuel Cost 12000 Miles,Tax band,Standard 12 months,Standard 6 Months,1st year 12 months,1st year 6 months,,,
BMW,5 Series F10/F11 From March 2010,530d Touring - 225/55 R17 tyres front & rear,Automatic,A8,2993,Diesel,6.4,5.0,5.5,44.1,56.5,51.4,145,6,70.0,170,,40,77,0.4,,"£1,560.14",F,£135.00,£74.25,£135.00,£74.25,,,
BMW,5 Series F10/F11 From March 2010,530d Touring - 245/40 R19 tyres front & rear,Automatic,A8,2993,Diesel,6.7,5.2,5.8,42.2,54.3,48.7,152,6,70.0,170,,40,77,0.4,,"£1,646.64",G,£170.00,£93.50,£170.00,£93.50,,,
BMW,5 Series F10/F11 From March 2010,530d Touring - 245/45 R18 tyres front & rear,Automatic,A8,2993,Diesel,6.6,5.1,5.7,42.8,55.4,49.6,149,6,70.0,170,,40,77,0.4,,"£1,616.76",F,£135.00,£74.25,£135.00,£74.25,,,
BMW,X5 Series E70,X5 xDrive30d - from April 2012,Automatic,A8,2993,Diesel,8.8,6.8,7.5,32.1,41.5,37.7,198,6,72.0,191,,26,69,0.3,,"£2,127.09",J,£250.00,£137.50,£460.00,NA,,,
BMW,X6 Series E71,X6 xDrive30d - from April 2012,Automatic,A8,2993,Diesel,8.8,6.8,7.5,32.1,41.5,37.7,198,6,72.0,191,,26,69,0.3,,"£2,127.09",J,£250.00,£137.50,£460.00,NA,,,
MAZDA,CX-5 Model Year 2012,2.2 SKYACTIV-D (150PS) 2WD,Manual,M6,2191,Diesel,5.4,4.1,4.6,52.3,68.9,61.4,119,6,71.0,97,,68,97,0.2,,"£1,306.05",C,£30.00,NA,£0.00,NA,,,
MAZDA,CX-5 Model Year 2012,2.2 SKYACTIV-D (150PS) 2WD,Automatic,A6,2191,Diesel,6.2,4.7,5.3,45.6,60.1,53.3,139,6,70.1,141,,73,100,0.3,,"£1,504.53",E,£120.00,£66.00,£120.00,£66.00,,,
MAZDA,CX-5 Model Year 2012,2.2 SKYACTIV-D (150PS) 4WD,Manual,M6,2191,Diesel,6.0,4.7,5.2,47.1,60.1,54.3,136,6,71.1,97,,68,97,0.2,,"£1,476.82",E,£120.00,£66.00,£120.00,£66.00,,,
MAZDA,CX-5 Model Year 2012,2.2 SKYACTIV-D (150PS) 4WD,Automatic,A6,2191,Diesel,6.4,4.9,5.5,44.1,57.6,51.4,144,6,70.7,141,,73,100,0.3,,"£1,560.14",F,£135.00,£74.25,£135.00,£74.25,,,
MAZDA,CX-5 Model Year 2012,2.2 SKYACTIV-D (175PS) 4WD,Manual,M6,2191,Diesel,6.0,4.7,5.2,47.1,60.1,54.3,136,6,71.1,97,,68,97,0.2,,"£1,476.82",E,£120.00,£66.00,£120.00,£66.00,,,
MAZDA,CX-5 Model Year 2012,2.2 SKYACTIV-D (175PS) 4WD,Automatic,A6,2191,Diesel,6.4,4.9,5.5,44.1,57.6,51.4,144,6,70.7,141,,73,100,0.3,,"£1,560.14",F,£135.00,£74.25,£135.00,£74.25,,,
MERCEDES-BENZ,M-Class Model Year 2012,ML 250 BLUETEC 4MATIC with 18 inch/19 inch rear wheels,Automatic,A7,2143,Diesel,7.3,5.6,6.3,38.7,50.4,44.8,165,6,73.0,246,,52,72,0.5,,"£1,789.99",G,£170.00,£93.50,£170.00,£93.50,,,
MERCEDES-BENZ,M-Class Model Year 2012,ML 250 BLUETEC 4MATIC with 20 inch/21 inch rear wheels,Automatic,A7,2143,Diesel,7.6,5.8,6.5,37.2,48.7,43.5,170,6,73.0,246,,52,72,0.5,,"£1,843.48",H,£195.00,£107.25,£275.00,NA,,,
MERCEDES-BENZ,M-Class Model Year 2012,ML 350 BLUETEC 4MATIC with 18 inch/19 inch rear wheels,Automatic,A7,2987,Diesel,8.2,6.7,7.2,34.4,42.2,39.2,189,6,72.0,305,,72,95,1.0,,"£2,045.70",J,£250.00,£137.50,£460.00,NA,,,
MERCEDES-BENZ,M-Class Model Year 2012,ML 350 BLUETEC 4MATIC with 20 inch/21 inch rear wheels,Automatic,A7,2987,Diesel,8.4,6.8,7.4,33.6,41.5,38.2,194,6,72.0,305,,72,95,1.0,,"£2,099.25",J,£250.00,£137.50,£460.00,NA,,,
MERCEDES-BENZ,S-Class Limousine Model Year 2012,S 350 BLUETEC with 17 inch/18 inch rear wheels,Automatic,A7,2987,Diesel,7.7,5.4,6.2,36.7,52.3,45.6,164,6,71.0,255,,65,89,1.0,,"£1,758.58",G,£170.00,£93.50,£170.00,£93.50,,,
MERCEDES-BENZ,S-Class Limousine Model Year 2012,S 350 BLUETEC with 19 inch/20 inch rear wheels,Automatic,A7,2987,Diesel,7.9,5.6,6.4,35.8,50.4,44.1,168,6,71.0,255,,65,89,1.0,,"£1,818.40",H,£195.00,£107.25,£275.00,NA,,,
MERCEDES-BENZ,S-Class Model Year 2012,S 350 BLUETEC with 17 inch/18 inch rear wheels,Automatic,A7,2987,Diesel,7.7,5.4,6.2,36.7,52.3,45.6,164,6,71.0,255,,65,89,1.0,,"£1,758.58",G,£170.00,£93.50,£170.00,£93.50,,,
MERCEDES-BENZ,S-Class Model Year 2012,S 350 BLUETEC with 19 inch/20 inch rear wheels,Automatic,A7,2987,Diesel,7.9,5.6,6.4,35.8,50.4,44.1,168,6,71.0,255,,65,89,1.0,,"£1,818.40",H,£195.00,£107.25,£275.00,NA,,,
