Manufacturer,Model,Description,AorM,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Euro standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],Date of change,Fuel Cost 12000 Miles,Tax band,Standard 12 months,Standard 6 Months,1st year 12 months,1st year 6 months,,,
BMW,X5 Series E70,X5 M ,Automatic,A6,4395,Petrol,19.3,10.8,13.9,14.6,26.2,20.3,325,5,73.0,417,40,24,,,,"£3,735.33",M,£475.00,£261.25,"£1,030.00",NA,,,
BMW,X5 Series E70,X5 M50d - from June 2012 ,Automatic,A8,2993,Diesel,8.8,6.8,7.5,32.1,41.5,37.7,199,5,73.0,387,,180,209,0.2,,"£2,127.09",J,£250.00,£137.50,£460.00,NA,,,
BMW,X5 Series E70,X5 xDrive30d - from April 2012,Automatic,A8,2993,Diesel,8.7,6.7,7.4,32.5,42.2,38.2,195,5,72.0,239,,150,171,0.2,,"£2,099.25",J,£250.00,£137.50,£460.00,NA,,,
BMW,X5 Series E70,X5 xDrive30d - up to March 2012,Automatic,A8,2993,Diesel,8.7,6.7,7.4,32.5,42.2,38.2,195,5,72.0,263,,151,179,0.5,,"£2,099.25",J,£250.00,£137.50,£460.00,NA,,,
BMW,X5 Series E70,X5 xDrive40d - from April 2012,Automatic,A8,2993,Diesel,8.8,6.8,7.5,32.1,41.5,37.7,198,5,72.0,264,,162,190,0.2,,"£2,127.09",J,£250.00,£137.50,£460.00,NA,,,
BMW,X5 Series E70,X5 xDrive40d - up to March 2012,Automatic,A8,2993,Diesel,8.8,6.8,7.5,32.1,41.5,37.7,198,5,72.0,306,,165,186,0.1,,"£2,127.09",J,£250.00,£137.50,£460.00,NA,,,
BMW,X5 Series E70,X5 xDrive50i,Automatic,A8,4395,Petrol,17.5,9.6,12.5,16.1,29.4,22.6,292,5,74.0,365,40,18,,,,"£3,355.19",M,£475.00,£261.25,"£1,030.00",NA,,,
BMW,X6 Series E71,X6 M ,Automatic,A6,4395,Petrol,19.3,10.8,13.9,14.6,26.2,20.3,325,5,73.0,417,40,24,,,,"£3,735.33",M,£475.00,£261.25,"£1,030.00",NA,,,
BMW,X6 Series E71,X6 M50d - from June 2012 ,Automatic,A8,2993,Diesel,9.0,7.0,7.7,31.4,40.4,36.7,204,5,73.0,387,,180,209,0.2,,"£2,185.05",K,£270.00,£148.50,£600.00,NA,,,
BMW,X6 Series E71,X6 xDrive30d - from April 2012,Automatic,A8,2993,Diesel,8.7,6.7,7.4,32.5,42.2,38.2,195,5,72.0,239,,150,171,0.2,,"£2,099.25",J,£250.00,£137.50,£460.00,NA,,,
BMW,X6 Series E71,X6 xDrive30d - up to March 2012,Automatic,A8,2993,Diesel,8.7,6.7,7.4,32.5,42.2,38.2,195,5,72.0,263,,151,179,0.5,,"£2,099.25",J,£250.00,£137.50,£460.00,NA,,,
BMW,X6 Series E71,X6 xDrive35i,Automatic,A8,2979,Petrol,13.2,8.3,10.1,21.4,34.0,28.0,236,5,71.0,511,58,17,,,,"£2,708.12",L,£460.00,£253.00,£815.00,NA,,,
BMW,X6 Series E71,X6 xDrive40d - from April 2012,Automatic,A8,2993,Diesel,8.8,6.8,7.5,32.1,41.5,37.7,198,5,72.0,264,,162,190,0.2,,"£2,127.09",J,£250.00,£137.50,£460.00,NA,,,
BMW,X6 Series E71,X6 xDrive40d - up to March 2012,Automatic,A8,2993,Diesel,8.8,6.8,7.5,32.1,41.5,37.7,198,5,72.0,306,,165,186,0.1,,"£2,127.09",J,£250.00,£137.50,£460.00,NA,,,
BMW,X6 Series E71,X6 xDrive50i,Automatic,A8,4395,Petrol,17.5,9.6,12.5,16.1,29.4,22.6,292,5,74.0,365,40,18,,,,"£3,355.19",M,£475.00,£261.25,"£1,030.00",NA,,,
BMW,Z4 Series E89,Z4 sDrive20i Roadster,Automatic,A8,1997,Petrol,9.1,5.5,6.8,31.0,51.4,41.5,159,5,72.0,151,52,17,,,,"£1,827.16",G,£170.00,£93.50,£170.00,£93.50,,,
BMW,Z4 Series E89,Z4 sDrive20i Roadster,Manual,M6,1997,Petrol,8.9,5.6,6.8,31.7,50.4,41.5,159,5,74.0,333,51,31,,,,"£1,827.16",G,£170.00,£93.50,£170.00,£93.50,,,
BMW,Z4 Series E89,Z4 sDrive28i Roadster,Automatic,A8,1997,Petrol,9.1,5.5,6.8,31.0,51.4,41.5,159,5,72.0,151,52,17,,,,"£1,827.16",G,£170.00,£93.50,£170.00,£93.50,,,
BMW,Z4 Series E89,Z4 sDrive28i Roadster,Manual,M6,1997,Petrol,8.9,5.6,6.8,31.7,50.4,41.5,159,5,74.0,333,51,31,,,,"£1,827.16",G,£170.00,£93.50,£170.00,£93.50,,,
BMW,Z4 Series E89,Z4 sDrive35i Roadster,Automatic,A7,2979,Petrol,12.6,6.9,9.0,22.4,40.9,31.4,210,5,74.0,320,72,22,,,,"£2,414.88",K,£270.00,£148.50,£600.00,NA,,,
BMW,Z4 Series E89,Z4 sDrive35i Roadster,Manual,M6,2979,Petrol,13.5,7.0,9.4,20.9,40.4,30.1,219,5,73.0,323,63,11,,,,"£2,519.18",K,£270.00,£148.50,£600.00,NA,,,
BMW,Z4 Series E89,Z4 sDrive35is Roadster,Automatic,A7,2979,Petrol,12.6,6.9,9.0,22.4,40.9,31.4,210,5,74.0,320,72,22,,,,"£2,414.88",K,£270.00,£148.50,£600.00,NA,,,
CHEVROLET,Aveo MY2011,1.2LS 5 Door Hatchback (with A/C),Manual,5MT,1206,Petrol,7.1,4.6,5.5,39.7,61.4,51.3,130,5,70.1,498,41,16,,,,"£1,478.11",D,£100.00,£55.00,£0.00,NA,,,
CHEVROLET,Aveo MY2011,1.2LS 5 Door Hatchback (without A/C),Manual,5MT,1206,Petrol,7.1,4.6,5.5,39.8,61.4,51.4,130,5,70.1,498,41,16,,,,"£1,475.24",D,£100.00,£55.00,£0.00,NA,,,
CHEVROLET,Aveo MY2011,1.2S 3 Door Hatchback (with A/C),Manual,5MT,1206,Petrol,7.1,4.6,5.5,39.7,61.4,51.3,130,5,70.1,498,41,16,,,,"£1,478.11",D,£100.00,£55.00,£0.00,NA,,,
CHEVROLET,Aveo MY2011,1.2S 3 Door Hatchback (without A/C),Manual,5MT,1206,Petrol,7.1,4.6,5.5,39.7,61.4,51.3,130,5,70.1,498,41,16,,,,"£1,478.11",D,£100.00,£55.00,£0.00,NA,,,
CHEVROLET,Aveo MY2011,1.2S 5 Door Hatchback (with A/C),Manual,5MT,1206,Petrol,7.1,4.6,5.5,39.7,61.4,51.3,130,5,70.1,498,41,16,,,,"£1,478.11",D,£100.00,£55.00,£0.00,NA,,,
CHEVROLET,Aveo MY2011,1.2S 5 Door Hatchback (without A/C),Manual,5MT,1206,Petrol,7.1,4.6,5.5,39.8,61.4,51.4,130,5,70.1,498,41,16,,,,"£1,475.24",D,£100.00,£55.00,£0.00,NA,,,
CHEVROLET,Aveo MY2011,1.4LT 5 Door Hatchback,Manual,5MT,1399,Petrol,8.2,4.9,6.1,34.4,57.6,46.3,143,5,70.8,432,36,37,,,,"£1,637.74",F,£135.00,£74.25,£135.00,£74.25,,,
CHEVROLET,Aveo MY2011,1.4LT Auto 5 Door Hatchback,Automatic,4AT,1399,Petrol,8.9,5.4,6.7,31.7,52.3,42.1,158,5,70.0,270,56,14,,,,"£1,801.12",G,£170.00,£93.50,£170.00,£93.50,,,
CHEVROLET,Camaro MY2012,6.2 V8,Manual,6MT,6162,Petrol,20.9,10.2,14.1,13.5,27.6,20.0,329,5,75.0,784,48,9,,,,"£3,791.36",M,£475.00,£261.25,"£1,030.00",NA,,,
CHEVROLET,Camaro MY2012,6.2 V8 Automatic,Automatic,6AT,6162,Petrol,18.9,9.7,13.1,14.9,29.1,21.5,304,5,75.0,968,68,11,,,,"£3,526.85",M,£475.00,£261.25,"£1,030.00",NA,,,
CHEVROLET,Captiva MY2011,2.2VCDi AWD (184PS),Manual,6MT,2231,Diesel,8.5,5.5,6.6,33.2,51.3,42.8,174,5,73.0,303,,155,178,0.0,,"£1,873.63",H,£195.00,£107.25,£275.00,NA,,,
CHEVROLET,Captiva MY2011,2.2VCDi AWD (184PS) Auto,Automatic,A6,2231,Diesel,10.0,6.4,7.7,28.2,44.1,36.6,203,5,71.3,468,,111,155,1.0,,"£2,191.02",K,£270.00,£148.50,£600.00,NA,,,
CHEVROLET,Captiva MY2011,2.2VCDi FWD (163PS),Manual,6MT,2231,Diesel,8.4,5.3,6.4,33.6,53.2,44.1,170,5,72.2,297,,150,173,0.0,,"£1,818.40",H,£195.00,£107.25,£275.00,NA,,,
CHEVROLET,Captiva MY2012,2.2VCDi (163PS) FWD,Manual,6MT,2231,Diesel,7.8,5.3,6.2,36.2,53.3,45.5,164,5,72.2,242,,151,189,0.4,,"£1,762.45",G,£170.00,£93.50,£170.00,£93.50,,,
CHEVROLET,Captiva MY2012,2.2VCDi (184PS) AWD,Manual,6MT,2231,Diesel,7.9,5.6,6.4,35.7,50.4,44.1,170,5,73.0,164,,167,190,0.7,,"£1,818.40",H,£195.00,£107.25,£275.00,NA,,,
CHEVROLET,Captiva MY2012,2.2VCDi (184PS) AWD Auto,Automatic,6AT,2231,Diesel,10.5,6.4,7.9,26.9,44.1,35.7,208,5,71.3,102,,227,236,0.5,,"£2,246.26",K,£270.00,£148.50,£600.00,NA,,,
CHEVROLET,Cruze MY2010,1.6LS 4 Door Saloon (with a/c),Manual,5MT,1598,Petrol,9.0,5.5,6.8,31.4,51.4,41.5,159,5,71.8,387,39,13,,,,"£1,827.16",G,£170.00,£93.50,£170.00,£93.50,,,
CHEVROLET,Cruze MY2010,1.6LS Auto 4 Door Saloon (with a/c),Automatic,5AT,1598,Petrol,11.2,5.8,7.8,25.2,48.7,36.2,184,5,71.4,579,59,12,,,,"£2,094.68",I,£215.00,£118.25,£325.00,NA,,,
CHEVROLET,Cruze MY2010,1.6S 4 Door Saloon (with a/c),Manual,5MT,1598,Petrol,9.0,5.5,6.8,31.4,51.4,41.5,159,5,71.8,387,39,13,,,,"£1,827.16",G,£170.00,£93.50,£170.00,£93.50,,,
CHEVROLET,Cruze MY2010,1.8LT 4 Door Saloon (with a/c),Manual,5MT,1796,Petrol,9.3,5.3,6.8,30.4,53.3,41.5,159,5,72.5,597,36,18,,,,"£1,827.16",G,£170.00,£93.50,£170.00,£93.50,,,
CHEVROLET,Cruze MY2010,1.8LT Auto 4 Door Saloon (with a/c),Manual,5MT,1798,Petrol,11.3,5.8,7.8,25.0,48.7,36.2,184,5,73.4,390,34,18,,,,"£2,094.68",I,£215.00,£118.25,£325.00,NA,,,
CHEVROLET,Cruze MY2011,1.6,Manual,5MT,1598,Petrol,8.8,5.1,6.5,32.1,55.3,43.4,153,5,71.8,647,44,11,,,,"£1,747.17",G,£170.00,£93.50,£170.00,£93.50,,,
CHEVROLET,Cruze MY2011,1.6,Automatic,5AT,1598,Petrol,10.5,5.6,7.4,26.9,50.4,38.1,174,5,71.6,630,52,8,,,,"£1,990.22",H,£195.00,£107.25,£275.00,NA,,,
CHEVROLET,Cruze MY2011,1.8,Manual,5MT,1796,Petrol,8.9,5.2,6.6,31.7,54.3,42.8,155,5,72.5,736,38,19,,,,"£1,771.67",G,£170.00,£93.50,£170.00,£93.50,,,
CHEVROLET,Cruze MY2011,1.8 Auto,Automatic,5AT,1796,Petrol,10.5,5.6,7.4,26.9,50.4,38.1,174,5,73.4,667,54,11,,,,"£1,990.22",H,£195.00,£107.25,£275.00,NA,,,
CHEVROLET,Cruze MY2011,2.0VCDI (163PS) Auto,Automatic,A6,1998,Diesel,9.2,5.2,6.6,30.7,54.3,42.8,175,5,78.0,206,,118,149,0.0,,"£1,873.63",H,£195.00,£107.25,£275.00,NA,,,
CHEVROLET,Cruze MY2011,2.0VCDI (163PS) Manual,Manual,6MT,1998,Diesel,7.6,4.4,5.6,37.1,64.2,50.4,147,5,71.0,296,,107,145,0.0,,"£1,591.10",F,£135.00,£74.25,£135.00,£74.25,,,
CHEVROLET,Cruze MY2012,1.6 Auto Hatchback,Automatic,6AT,1598,Petrol,10.3,5.7,7.4,27.4,49.5,38.1,174,5,71.6,581,54,11,,,,"£1,990.22",H,£195.00,£107.25,£275.00,NA,,,
CHEVROLET,Cruze MY2012,1.6 Hatchback,Manual,5MT,1598,Petrol,8.9,5.2,6.6,31.7,54.3,42.8,153,5,71.8,659,44,15,,,,"£1,771.67",G,£170.00,£93.50,£170.00,£93.50,,,
CHEVROLET,Cruze MY2012,1.7VCDi (130PS) Hatchback,Manual,6MT,1689,Diesel,5.5,3.9,4.5,51.3,72.4,62.7,117,5,73.8,303,,103,154,0.6,,"£1,278.97",C,£30.00,NA,£0.00,NA,,,
CHEVROLET,Cruze MY2012,1.8 Auto Hatchback,Automatic,6AT,1796,Petrol,10.7,5.5,7.4,26.4,51.3,38.1,174,5,73.4,618,45,11,,,,"£1,990.22",H,£195.00,£107.25,£275.00,NA,,,
CHEVROLET,Cruze MY2012,1.8 Hatchback,Manual,5MT,1796,Petrol,8.9,5.2,6.6,31.7,54.3,42.8,155,5,72.5,742,42,19,,,,"£1,771.67",G,£170.00,£93.50,£170.00,£93.50,,,
CHEVROLET,Cruze MY2012,2.0 Auto Saloon,Automatic,6AT,1998,Diesel,8.7,5.0,6.3,32.4,56.4,44.8,167,5,69.2,207,,118,150,0.2,,"£1,789.99",H,£195.00,£107.25,£275.00,NA,,,
CHEVROLET,Cruze MY2012,2.0 Saloon,Manual,6MT,1998,Diesel,7.3,4.2,5.4,38.6,67.2,52.3,141,5,71.0,297,,107,146,0.2,,"£1,533.30",F,£135.00,£74.25,£135.00,£74.25,,,
CHEVROLET,Cruze MY2012,2.0VCDi (163PS) Auto Hatchback,Automatic,6AT,1998,Diesel,8.7,5.0,6.3,32.4,56.4,44.8,167,5,69.2,114,,149,169,0.6,,"£1,789.99",H,£195.00,£107.25,£275.00,NA,,,
CHEVROLET,Cruze MY2012,2.0VCDi (163PS) Hatchback,Manual,6MT,1998,Diesel,7.7,4.4,5.6,36.6,64.2,50.4,147,5,71.0,252,,98,137,0.9,,"£1,591.10",F,£135.00,£74.25,£135.00,£74.25,,,
CHEVROLET,New Aveo MY2012,1.2,Manual,5MT,1229,Petrol,7.7,4.8,5.9,36.7,58.9,47.9,138,5,72.8,632,39,39,,,,"£1,583.03",E,£120.00,£66.00,£120.00,£66.00,,,
CHEVROLET,New Aveo MY2012,1.4,Manual,5MT,1398,Petrol,7.7,4.9,5.9,36.7,57.7,47.9,139,5,72.8,673,54,24,,,,"£1,583.03",E,£120.00,£66.00,£120.00,£66.00,,,
CHEVROLET,New Aveo MY2012,1.3VCDi (75PS),Manual,5MT,1248,Diesel,4.3,3.4,3.8,65.6,83.1,74.3,99,5,73.0,294,,104,137,0.5,,"£1,079.29",A,£0.00,NA,£0.00,NA,,,
CHEVROLET,New Aveo MY2012,1.3VCDi (95PS),Manual,6MT,1248,Diesel,4.8,3.6,4.1,58.8,78.4,68.9,108,5,72.0,337,,125,155,0.7,,"£1,163.88",B,£20.00,NA,£0.00,NA,,,
CHEVROLET,New Aveo MY2012,1.3VCDi eco (95PS),Manual,5MT,1248,Diesel,4.2,3.3,3.6,67.2,85.6,78.4,95,5,73.2,423,,118,170,1.1,,"£1,022.85",A,£0.00,NA,£0.00,NA,,,
CHEVROLET,New Aveo MY2012,1.4 Auto,Automatic,6AT,1398,Petrol,9.0,5.4,6.8,31.4,52.3,41.5,159,5,72.0,577,43,28,,,,"£1,827.16",G,£170.00,£93.50,£170.00,£93.50,,,
CHEVROLET,New Aveo MY2012 ½,1.2,Manual,5MT,1229,Petrol,5.8,4.1,4.7,48.7,68.9,60.1,111,5,72.8,461,37,22,,,,"£1,261.69",C,£30.00,NA,£0.00,NA,,,
CHEVROLET,New Aveo MY2012 ½,1.4,Manual,5MT,1398,Petrol,6.8,4.5,5.3,41.5,62.7,53.3,125,5,72.8,652,50,21,,,,"£1,422.65",D,£100.00,£55.00,£0.00,NA,,,
CHEVROLET,New Aveo MY2012 ½,1.3VCDi (75PS),Manual,5MT,1248,Diesel,4.3,3.4,3.8,65.6,83.1,74.3,99,5,73.0,294,,104,137,0.5,,"£1,079.29",A,£0.00,NA,£0.00,NA,,,
CHEVROLET,New Aveo MY2012 ½,1.3VCDi (95PS),Manual,6MT,1248,Diesel,4.8,3.6,4.1,58.8,78.4,68.9,108,5,72.0,337,,125,155,0.7,,"£1,163.88",B,£20.00,NA,£0.00,NA,,,
CHEVROLET,New Aveo MY2012 ½,1.3VCDi eco (95PS),Manual,5MT,1248,Diesel,4.2,3.3,3.6,67.2,85.6,78.4,95,5,73.2,423,,118,170,1.1,,"£1,022.85",A,£0.00,NA,£0.00,NA,,,
CHEVROLET,New Aveo MY2012 ½,1.4 Auto,Automatic,6AT,1398,Petrol,8.3,5.1,6.3,34.0,55.3,44.8,147,5,72.0,699,50,13,,,,"£1,692.57",F,£135.00,£74.25,£135.00,£74.25,,,
CHEVROLET,Orlando MY2011,1.8 Auto,Automatic,6AT,1796,Petrol,11.2,6.0,7.9,25.2,47.0,35.7,186,5,72.6,907,41,10,,,,"£2,124.01",J,£250.00,£137.50,£460.00,NA,,,
CHEVROLET,Orlando MY2011,1.8LS 4 Door (with a/c),Manual,5MT,1796,Petrol,9.7,5.9,7.3,29.1,47.9,38.7,172,5,72.5,825,39,24,,,,"£1,959.36",H,£195.00,£107.25,£275.00,NA,,,
CHEVROLET,Orlando MY2011,1.8LT 4 Door (with a/c),Manual,5MT,1796,Petrol,9.7,5.9,7.3,29.1,47.9,38.7,172,5,72.5,825,39,24,,,,"£1,959.36",H,£195.00,£107.25,£275.00,NA,,,
CHEVROLET,Orlando MY2011,1.8LTZ 4 Door (with a/c),Manual,5MT,1796,Petrol,9.7,5.9,7.3,29.1,47.9,38.7,172,5,72.5,825,39,24,,,,"£1,959.36",H,£195.00,£107.25,£275.00,NA,,,
CHEVROLET,Orlando MY2011,2.0LS VCDi (130PS) 4 Door (with a/c),Manual,6MT,1998,Diesel,7.9,4.9,6.0,35.8,57.7,47.1,159,5,71.3,267,,131,170,0.0,,"£1,702.58",G,£170.00,£93.50,£170.00,£93.50,,,
CHEVROLET,Orlando MY2011,2.0LT VCDi (130PS) 4 Door (with a/c),Manual,6MT,1998,Diesel,7.9,4.9,6.0,35.8,57.7,47.1,159,5,73.3,267,,131,170,0.0,,"£1,702.58",G,£170.00,£93.50,£170.00,£93.50,,,
CHEVROLET,Orlando MY2011,2.0LT VCDi (163PS) 4 Door (with a/c) ,Automatic,A6,1998,Diesel,9.3,5.7,7.0,30.4,49.6,40.4,186,5,70.3,295,,153,199,1.0,,"£1,984.94",J,£250.00,£137.50,£460.00,NA,,,
CHEVROLET,Orlando MY2011,2.0LTZ VCDi (163PS) ,Manual,6MT,1998,Diesel,7.9,4.9,6.0,35.8,57.7,47.1,159,5,71.3,267,,131,170,0.0,,"£1,702.58",G,£170.00,£93.50,£170.00,£93.50,,,
CHEVROLET,Orlando MY2011,2.0LTZ VCDi (163PS) ,Automatic,A6,1998,Diesel,9.3,5.7,7.0,30.4,49.6,40.4,186,5,70.3,295,,153,199,1.0,,"£1,984.94",J,£250.00,£137.50,£460.00,NA,,,
CHEVROLET,Orlando MY2012,1.8,Manual,5MT,1796,Petrol,9.7,5.9,7.3,29.1,47.9,38.7,172,5,72.5,825,40,25,,,,"£1,959.36",H,£195.00,£107.25,£275.00,NA,,,
CHEVROLET,Orlando MY2012,1.8 Auto,Automatic,6AT,1796,Petrol,11.2,6.0,7.9,25.2,47.0,35.7,186,5,72.6,907,41,10,,,,"£2,124.01",J,£250.00,£137.50,£460.00,NA,,,
CHEVROLET,Orlando MY2012,2.0VCDi (130PS),Manual,6MT,1998,Diesel,7.9,4.9,6.0,35.8,57.7,47.1,159,5,71.3,268,,132,170,0.3,,"£1,702.58",G,£170.00,£93.50,£170.00,£93.50,,,
CHEVROLET,Orlando MY2012,2.0VCDi (163PS),Manual,6MT,1998,Diesel,7.9,4.9,6.0,35.8,57.7,47.1,159,5,71.3,268,,132,170,0.3,,"£1,702.58",G,£170.00,£93.50,£170.00,£93.50,,,
CHEVROLET,Orlando MY2012,2.0VCDi (163PS) Auto,Automatic,6AT,1998,Diesel,9.3,5.7,7.0,30.4,49.6,40.4,186,5,70.3,296,,154,199,0.5,,"£1,984.94",J,£250.00,£137.50,£460.00,NA,,,
CHEVROLET,Spark MY2010,1.0 5 Door Hatchback,Manual,5MT,995,Petrol,6.6,4.2,5.1,42.8,67.3,55.4,119,5,68.5,591,36,13,,,,"£1,368.72",C,£30.00,NA,£0.00,NA,,,
CHEVROLET,Spark MY2010,1.0 LS 5 Door Hatchback,Manual,5MT,995,Petrol,6.6,4.2,5.1,42.8,67.3,55.4,119,5,68.5,591,36,13,,,,"£1,368.72",C,£30.00,NA,£0.00,NA,,,
CHEVROLET,Spark MY2010,1.0+ 5 Door Hatchback,Manual,5MT,995,Petrol,6.6,4.2,5.1,42.8,67.3,55.4,119,5,68.5,591,36,13,,,,"£1,368.72",C,£30.00,NA,£0.00,NA,,,
CHEVROLET,Spark MY2010,1.2 LS 5 Door Hatchback,Manual,5MT,1206,Petrol,6.6,4.2,5.1,42.8,67.3,55.4,119,5,69.5,452,33,14,,,,"£1,368.72",C,£30.00,NA,£0.00,NA,,,
CHEVROLET,Spark MY2010,1.2 LS+ 5 Door Hatchback,Manual,5MT,1206,Petrol,6.6,4.2,5.1,42.8,67.3,55.4,119,5,69.5,452,33,14,,,,"£1,368.72",C,£30.00,NA,£0.00,NA,,,
CHEVROLET,Spark MY2010,1.2 LT 5 Door Hatchback,Manual,5MT,1206,Petrol,6.6,4.2,5.1,42.8,67.3,55.4,119,5,69.5,452,33,14,,,,"£1,368.72",C,£30.00,NA,£0.00,NA,,,
CHEVROLET,Spark MY2012,1.0,Manual,5MT,995,Petrol,6.6,4.2,5.1,42.8,67.3,55.4,119,5,68.5,591,36,13,,,,"£1,368.72",C,£30.00,NA,£0.00,NA,,,
CHEVROLET,Spark MY2012,1.2,Manual,5MT,1206,Petrol,6.6,4.2,5.1,42.8,67.3,55.4,119,5,69.5,452,33,14,,,,"£1,368.72",C,£30.00,NA,£0.00,NA,,,
CHRYSLER JEEP,Chrysler 300C MY2012,3.0crd high output 18 inch wheel,Automatic,A5,2987,Diesel,9.5,5.7,7.1,29.7,49.6,39.8,185,5,70.0,259,,164,183,0.4,,"£2,014.86",I,£215.00,£118.25,£325.00,NA,,,
CHRYSLER JEEP,Chrysler 300C MY2012,3.0crd high output 20 inch wheel,Automatic,A5,2987,Diesel,9.6,5.9,7.2,29.4,47.9,39.2,191,5,70.0,260,,164,183,0.4,,"£2,045.70",J,£250.00,£137.50,£460.00,NA,,,
CHRYSLER JEEP,Chrysler 300C MY2012,3.0crd low output 18 inch wheel,Automatic,A5,2987,Diesel,9.5,5.7,7.1,29.7,49.6,39.8,185,5,70.0,259,,164,183,0.4,,"£2,014.86",I,£215.00,£118.25,£325.00,NA,,,
CHRYSLER JEEP,Chrysler 300C MY2012,3.0crd low output 20 inch wheel,Automatic,A5,2987,Diesel,9.6,5.9,7.2,29.4,47.9,39.2,191,5,70.0,259,,164,183,0.4,,"£2,045.70",J,£250.00,£137.50,£460.00,NA,,,
CHRYSLER JEEP,Chrysler 300C MY2012,6.4 high output 18 inch wheel,Automatic,A5,6417,Petrol,20.4,8.7,13.0,13.8,32.5,21.7,303,5,71.0,563,51,405,,,,"£3,494.34",M,£475.00,£261.25,"£1,030.00",NA,,,
CHRYSLER JEEP,Chrysler Delta,1.4 120 T-Jet,Manual,M6,1368,Petrol,8.1,5.2,6.3,34.9,54.4,44.8,146,5,73.0,380,47,24,,,,"£1,692.57",F,£135.00,£74.25,£135.00,£74.25,,,
CHRYSLER JEEP,Chrysler Delta,1.4 140 M-Air,Manual,M6,1368,Petrol,7.3,4.8,5.7,38.7,58.9,49.6,132,5,71.0,457,42,19,,,,"£1,528.78",E,£120.00,£66.00,£120.00,£66.00,,,
CHRYSLER JEEP,Chrysler Delta,1.6 120 M-Jet,Automatic,S/A6,1598,Diesel,5.7,3.9,4.6,49.6,72.4,61.4,120,5,70.0,264,,163,184,0.2,,"£1,306.05",C,£30.00,NA,£0.00,NA,,,
CHRYSLER JEEP,Chrysler Delta,1.6 120 M-Jet,Manual,M6,1598,Diesel,5.8,4.0,4.7,48.7,70.6,60.1,122,5,73.5,414,,170,218,0.4,,"£1,334.30",D,£100.00,£55.00,£0.00,NA,,,
CHRYSLER JEEP,Chrysler Delta,2.0 165 M-Jet,Manual,M6,1956,Diesel,6.7,4.2,5.1,42.2,67.3,55.4,135,5,72.0,446,,159,207,1.0,,"£1,447.50",E,£120.00,£66.00,£120.00,£66.00,,,
CHRYSLER JEEP,Chrysler Grand Voyager MY2012,2.8 CRD,Automatic,A6,2776,Diesel,10.5,6.3,7.9,26.9,44.8,35.8,207,5,72.0,825,,263,278,0.1,,"£2,239.98",K,£270.00,£148.50,£600.00,NA,,,
CHRYSLER JEEP,Chrysler Ypsilon MY2012,0.9 85 bhp Twin Air stop start,Manual,M5,875,Petrol,5.0,3.8,4.2,56.5,74.3,67.3,99,5,72.0,275,49,25,,,,"£1,126.71",A,£0.00,NA,£0.00,NA,,,
CHRYSLER JEEP,Chrysler Ypsilon MY2012,0.9 85 bhp Twin Air stop start ,Automatic,A5,875,Petrol,4.9,3.7,4.1,57.6,76.3,68.9,97,5,73.9,204,33,35,,,,"£1,100.54",A,£0.00,NA,£0.00,NA,,,
CHRYSLER JEEP,Chrysler Ypsilon MY2012,1.2 lower ratios stop start ,Manual,M5,1242,Petrol,6.4,4.3,5.1,44.1,65.7,55.4,118,5,71.4,471,43,22,,,,"£1,368.72",C,£30.00,NA,£0.00,NA,,,
CHRYSLER JEEP,Chrysler Ypsilon MY2012,1.2 stop start,Manual,M5,1242,Petrol,6.4,4.1,4.9,44.1,68.9,57.6,115,5,72.0,374,42,28,,,,"£1,316.45",C,£30.00,NA,£0.00,NA,,,
CHRYSLER JEEP,Chrysler Ypsilon MY2012,1.3 95 bhp stop start,Manual,M5,1248,Diesel,4.7,3.2,3.8,60.1,88.3,74.3,99,5,72.0,281,,157,187,0.5,,"£1,079.29",A,£0.00,NA,£0.00,NA,,,
CHRYSLER JEEP,Jeep Compass MY 2011,2.0 4x2,Manual,M5,1998,Petrol,10.2,6.1,7.6,27.7,46.3,37.2,175,5,72.0,799,52,47,,,,"£2,038.37",H,£195.00,£107.25,£275.00,NA,,,
CHRYSLER JEEP,Jeep Compass MY 2011,2.2 CRD 4x2 low power,Manual,M6,2143,Diesel,7.4,5.4,6.1,38.2,52.3,46.3,161,5,74.0,252,,137,170,0.4,,"£1,732.00",G,£170.00,£93.50,£170.00,£93.50,,,
CHRYSLER JEEP,Jeep Compass MY 2011,2.2 CRD 4x4 normal power,Manual,M6,2143,Diesel,7.9,5.9,6.6,35.8,47.9,42.8,172,5,74.0,252,,137,170,0.0,,"£1,873.63",H,£195.00,£107.25,£275.00,NA,,,
CHRYSLER JEEP,Jeep Compass MY 2011,2.4 4x4,Automatic,CVT,2359,Petrol,11.3,7.0,8.6,25.0,40.4,32.8,199,5,74.0,491,43,9,,,,"£2,311.81",J,£250.00,£137.50,£460.00,NA,,,
CHRYSLER JEEP,Jeep Compass MY2012,2.0 4x2,Manual,M5,1998,Petrol,10.2,6.1,7.6,27.7,46.3,37.2,175,5,72.0,799,52,71,,,,"£2,038.37",H,£195.00,£107.25,£275.00,NA,,,
